OBSERVATION_ID,OBSERVATION_TIME,CITY_ID,CITY_NAME,COUNTRY,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_CONDITION,WEATHER_DESCRIPTION,TEMPERATURE,TEMP_FEELS_LIKE,TEMP_MIN,TEMP_MAX,HUMIDITY,WIND_SPEED,WIND_DEG,RAIN,CLOUDS
704,2024-10-21 14:15:51,3173435,Milan,IT,45.4643,9.1895,800,Clear,clear sky,21.61,21.6,20.56,22.79,68,1.54,0,0.0,0.0
705,2024-10-21 14:17:57,3181927,Bologna,IT,44.4667,11.4333,802,Clouds,scattered clouds,18.51,18.58,17.92,21.87,83,2.06,30,0.0,40.0
706,2024-10-21 14:22:22,2525471,Provincia di Cagliari,IT,39.245,9.0912,801,Clouds,few clouds,23.45,23.52,22.19,25.05,64,4.63,160,0.0,20.0
601,2024-10-21 13:09:45,3173435,Milan,IT,45.4643,9.1895,800,Clear,clear sky,21.03,294.22,293.03,295.29,72,1.54,0,0.0,0.0
602,2024-10-21 13:16:58,3181927,Bologna,IT,44.4667,11.4333,803,Clouds,broken clouds,18.58,291.81,291.29,294.43,83,1.03,0,0.0,75.0
603,2024-10-21 13:12:15,2525471,Provincia di Cagliari,IT,39.245,9.0912,801,Clouds,few clouds,23.18,296.4,295.3,297.03,65,4.12,170,0.0,20.0
309,2024-10-21 02:35:18,3173435,Milan,IT,45.4643,9.1895,804,Clouds,overcast clouds,14.49,287.52,286.66,289.4,91,1.06,67,0.0,91.0
310,2024-10-21 02:37:44,3181927,Bologna,IT,44.4667,11.4333,801,Clouds,few clouds,14.34,287.51,286.62,290.39,97,1.03,0,0.0,24.0
311,2024-10-21 02:46:18,2525471,Provincia di Cagliari,IT,39.245,9.0912,801,Clouds,few clouds,17.41,290.63,290.03,290.88,87,0.51,90,0.0,20.0
2,2024-10-20 22:05:04,2523918,Province of Palermo,IT,37.8167,13.5833,804,Clouds,overcast clouds,16.07,289.15,287.49,290.49,87,0.99,117,0.0,88.0
6,2024-10-20 22:05:04,2523918,Province of Palermo,IT,37.8167,13.5833,804,Clouds,overcast clouds,16.07,289.15,287.49,290.49,87,0.99,117,0.0,88.0
303,2024-10-20 22:05:04,2523918,Province of Palermo,IT,37.8167,13.5833,804,Clouds,overcast clouds,16.07,289.15,287.49,290.49,87,0.99,117,0.0,88.0
308,2024-10-20 22:07:48,2525471,Provincia di Cagliari,IT,39.245,9.0912,802,Clouds,scattered clouds,19.04,292.24,290.9,292.54,80,1.03,0,0.0,40.0
201,2024-10-20 22:07:48,2525471,Provincia di Cagliari,IT,39.245,9.0912,802,Clouds,scattered clouds,19.04,292.24,290.9,292.54,80,1.03,0,0.0,40.0
105,2024-10-20 22:07:48,2525471,Provincia di Cagliari,IT,39.245,9.0912,802,Clouds,scattered clouds,19.04,292.24,290.9,292.54,80,1.03,0,0.0,40.0
3,2024-10-20 22:07:48,2525471,Provincia di Cagliari,IT,39.245,9.0912,802,Clouds,scattered clouds,19.04,292.24,290.9,292.54,80,1.03,0,0.0,40.0
12,2024-10-20 22:50:00,2525471,Provincia di Cagliari,IT,39.245,9.0912,800,Clear,clear sky,18.74,291.96,290.23,292.2,82,1.54,230,0.0,0.0
15,2024-10-20 22:58:54,2525471,Provincia di Cagliari,IT,39.245,9.0912,800,Clear,clear sky,18.69,291.88,290.34,292.03,81,1.54,230,0.0,0.0
4,2024-10-20 22:04:41,3165523,Province of Turin,IT,45.1333,7.3667,804,Clouds,overcast clouds,12.17,285.07,284.33,287.06,95,2.02,306,0.0,99.0
106,2024-10-20 22:04:41,3165523,Province of Turin,IT,45.1333,7.3667,804,Clouds,overcast clouds,12.17,285.07,284.33,287.06,95,2.02,306,0.0,99.0
103,2024-10-20 21:55:16,3169070,Rome,IT,41.8947,12.4839,801,Clouds,few clouds,19.83,292.66,291.7,294.03,63,2.06,90,0.0,20.0
301,2024-10-20 21:55:16,3169070,Rome,IT,41.8947,12.4839,801,Clouds,few clouds,19.83,292.66,291.7,294.03,63,2.06,90,0.0,20.0
305,2024-10-20 22:05:06,3169070,Rome,IT,41.8947,12.4839,801,Clouds,few clouds,19.44,292.29,291.34,293.51,65,0.89,63,0.0,20.0
8,2024-10-20 22:05:09,3172394,Naples,IT,40.8333,14.25,801,Clouds,few clouds,19.28,292.55,292.1,294.12,82,2.06,40,0.0,20.0
304,2024-10-20 22:01:35,3173435,Milan,IT,45.4643,9.1895,800,Clear,clear sky,15.53,288.64,287.71,290.57,90,0.51,0,0.0,0.0
1,2024-10-20 22:01:35,3173435,Milan,IT,45.4643,9.1895,800,Clear,clear sky,15.53,288.64,287.71,290.57,90,0.51,0,0.0,0.0
102,2024-10-20 22:01:35,3173435,Milan,IT,45.4643,9.1895,800,Clear,clear sky,15.53,288.64,287.71,290.57,90,0.51,0,0.0,0.0
9,2024-10-20 22:11:26,3173435,Milan,IT,45.4643,9.1895,804,Clouds,overcast clouds,15.52,288.6,287.32,290.42,89,0.39,97,0.0,97.0
10,2024-10-20 22:42:02,3173435,Milan,IT,45.4643,9.1895,804,Clouds,overcast clouds,15.58,288.67,287.12,290.42,89,0.65,87,0.0,97.0
13,2024-10-20 22:50:31,3173435,Milan,IT,45.4643,9.1895,804,Clouds,overcast clouds,15.55,288.63,287.21,290.01,89,0.65,87,0.0,97.0
307,2024-10-20 22:12:02,3176217,Provincia di Genova,IT,44.5,9.0667,803,Clouds,broken clouds,14.52,287.29,285.4,288.86,81,4.02,68,0.0,71.0
306,2024-10-20 22:07:12,3176959,Florence,IT,43.7667,11.25,800,Clear,clear sky,19.58,292.7,290.66,293.28,75,0.45,263,0.0,10.0
104,2024-10-20 22:07:12,3176959,Florence,IT,43.7667,11.25,800,Clear,clear sky,19.58,292.7,290.66,293.28,75,0.45,263,0.0,10.0
101,2024-10-20 22:01:17,3181927,Bologna,IT,44.4667,11.4333,801,Clouds,few clouds,16.05,289.37,287.81,290.95,96,1.54,270,0.0,20.0
302,2024-10-20 22:01:17,3181927,Bologna,IT,44.4667,11.4333,801,Clouds,few clouds,16.05,289.37,287.81,290.95,96,1.54,270,0.0,20.0
108,2024-10-20 22:01:17,3181927,Bologna,IT,44.4667,11.4333,801,Clouds,few clouds,16.05,289.37,287.81,290.95,96,1.54,270,0.0,20.0
5,2024-10-20 22:01:17,3181927,Bologna,IT,44.4667,11.4333,801,Clouds,few clouds,16.05,289.37,287.81,290.95,96,1.54,270,0.0,20.0
14,2024-10-20 22:47:59,3181927,Bologna,IT,44.4667,11.4333,803,Clouds,broken clouds,16.05,289.34,287.8,290.95,95,2.06,240,0.0,75.0
11,2024-10-20 22:51:57,3181927,Bologna,IT,44.4667,11.4333,803,Clouds,broken clouds,15.97,289.25,287.25,290.95,95,2.06,240,0.0,75.0
107,2024-10-20 22:11:01,6457404,Provincia di Rimini,IT,44.0241,12.5186,803,Clouds,broken clouds,16.94,290.27,288.86,290.72,93,1.54,230,0.0,63.0
7,2024-10-20 22:07:21,6542001,Bari,IT,41.1177,16.8512,801,Clouds,few clouds,19.39,292.49,292.07,293.08,75,3.6,110,0.0,20.0
701,2024-10-21 14:15:51,3173435,Milan,IT,45.4643,9.1895,800,Clear,clear sky,21.61,21.6,20.56,22.79,68,1.54,0,0.0,0.0
702,2024-10-21 14:17:57,3181927,Bologna,IT,44.4667,11.4333,802,Clouds,scattered clouds,18.51,18.58,17.92,21.87,83,2.06,30,0.0,40.0
703,2024-10-21 14:22:22,2525471,Provincia di Cagliari,IT,39.245,9.0912,801,Clouds,few clouds,23.45,23.52,22.19,25.05,64,4.63,160,0.0,20.0
16,2024-10-20 23:24:58,3173435,Milan,IT,45.4643,9.1895,804,Clouds,overcast clouds,15.3,288.39,286.76,289.85,90,0.65,87,0.0,97.0
